"Title","ID","Owner","Created Date","Updated Date","Name","Class 4","Class 3","Email","Hometown","Class 1","Interest 1","Interest 2","Interest 3","Class 2","Phone","Major","Hometype"
,"92b1656d-c318-4d4a-bed4-af072908a738",,2019-07-02T15:39:10Z,2019-07-02T15:39:10Z,"James","Asro 1101","math 1120","james@cornell.edu","Michigan","CS 1110","netflix","chill","beer","chem 2070","1234567890","Undecided","Suburban"
,"f3c495f8-5ee6-4d81-9781-1c15bfff52c6",,2019-07-02T15:38:15Z,2019-07-02T15:38:15Z,"Nicole","PHIL 1100","BIOEE 1540","n@cornell.edu","Montana","ARCH 1101","art","building","architecture","ARCH 1120","123","Architecture","Rural"
,"c3786488-abc4-4d1d-b806-48f37954b39e",,2019-07-02T15:35:47Z,2019-07-02T15:35:47Z,"Lauren","PHIL 1100","HIST 1700","l@cornell.edu","Michigan","ARKEO 1200","watching tv","animals","fashion","HIST 1660","123","Archaeology","Suburban"
,"73959cb7-b668-49ca-bbd0-bc300a766334",,2019-07-02T15:34:24Z,2019-07-02T15:34:24Z,"Jake","ANTHR 1400","Econ 1110","jake@cornell.edu","New Jersey","GOVT 1817","political science","dance","finance","Psych 1112","1234567890","Astronomy","Suburban"
,"9847eb5b-48fe-425c-9e3b-a0b0a5fe94c9",,2019-07-02T15:32:57Z,2019-07-02T15:32:57Z,"Megan","DEA 1101","ASTRO 1103","m@cornell.edu","Oklahoma","ARAB 1201","acting","photography","origami","ASTRO 1101","123","Astronomy","Suburban"
,"1ece6b8e-8b81-45e9-b066-594d866dba28",,2019-07-02T15:30:01Z,2019-07-02T15:30:01Z,"Julia","STS 1101","ANTHR 1400","j@cornell.edu","Ohio","NES 1660","singing ","politics","guitar","GOVT 1817","123","Government","Suburban"
,"8a6151f8-06ab-47d4-a80f-0d9c3aa1f44c",,2019-07-02T15:27:48Z,2019-07-02T15:27:48Z,"Matt","ECON 2040","ECON 1120","m@cornell.edu","Tennessee","NES 1660","history","politics","baseball","GOVT 1817","123","Near Eastern Studies","Suburban"
,"26423cb4-1d29-4a54-a7a1-1bbf5ae13b04",,2019-07-02T15:27:08Z,2019-07-02T15:27:08Z,"Justin","ASTRO 1101","PHYS 1112","justin@cornell.edu","China","Chem 2090","Art","Math ","Fishing","Math 1920","1234567890","Biometry and Statistics","Urban"
,"f113419e-265d-444a-ab5e-03a503afdfc0",,2019-07-02T15:25:36Z,2019-07-02T15:25:36Z,"Sanjana","Econ 1110","PSYCH 1101","sanjana@cornell.edu","New Jersey","MATH 1110","music","karate","board games","GOVT 1817","MATH 1110","Economics","Suburban"
,"c17a8b8e-6411-4447-b794-205e824402a8",,2019-07-02T15:24:55Z,2019-07-02T15:24:55Z,"Dave","ECON 1110","PSYCH 1101","dave@cornell.edu","New Jersey","MATH 1110","music","karate","board games","GOVT 1817","123","Economics","Suburban"
,"fb0eccb5-a13c-499f-a40d-766ea170569e",,2019-07-02T15:22:42Z,2019-07-02T15:22:42Z,"Mark","CHEM 2090","PHYS 1112","mark@cornell.edu","California","CS 1110","soccer","video games","drawing","MATH 1910","123","Operations Research and Engineering","Suburban"
,"8c8afccc-e3d0-4798-9f15-9a931208182e",,2019-07-02T15:22:37Z,2019-07-02T15:22:37Z,"Swee","Chem 2090","Phys 1112","swee@cornell.edu","New Hampshire","CS 2110","computers","listening to music","board games","Math 1920","1234567890","Computer Science","Suburban"
,"41149880-6945-49c3-86a4-10a7ccff912b",,2019-07-02T15:19:47Z,2019-07-02T15:19:47Z,"Jessica","ENGRI 1101","PHYS 1112","jess@cornell.edu","Kansas","CS 1110","robotics","animals","yoga","MATH 1910","123","Computer Science","Suburban"
,"b1de2c51-03c2-49f4-98b9-544fa9e4235f",,2019-07-02T15:18:16Z,2019-07-02T15:18:16Z,"Max","SPAN 2090","AEM 2010","max@cornell.edu","California","ECON 1110","football","basketball","soccer","AEM 2200","1234567890","Applied Economics and Management","Suburban"
,"540fb8fa-f191-4351-8bb4-b292fe515e4c",,2019-07-02T15:17:43Z,2019-07-02T15:17:43Z,"Linda","CHEM 2090","ECON 1110","linda@cornell.edu","Nevada","CS 1110","dancing","animals","food","MATH 1910","123","Computer Science","Suburban"
,"f30c099d-9dc4-41d5-9995-578534dbdf5c",,2019-07-02T15:17:11Z,2019-07-02T15:17:11Z,"Jordan","COMM 2010","COMM 2010","jordan@cornell.edu","New York","ECON 1110","singing","karate","bowling","COMM 1110","1234567890","Communication","Urban"
,"93f04a83-adf3-47f2-8fc6-7641699a89f5",,2019-07-02T15:15:50Z,2019-07-02T15:15:50Z,"Doug","ARAB 1201","PHIL 1100","doug@cornell.edu","Delaware","COMM 1101","yoga","photography","baseball","GOVT 1111","123","History","Suburban"
,"d0cf684a-f8ed-4c65-bb35-0024b18914c3",,2019-07-02T15:13:58Z,2019-07-02T15:13:58Z,"Seth","COMM 1101","ASTRO 1101","seth@cornell.edu","Maryland","GOVT 1111","football","drawing","running","ITAL 1201","123","History","Suburban"
,"7b8b4203-07be-45b5-860c-4c72afbe2bbb",,2019-07-02T15:11:54Z,2019-07-02T15:11:54Z,"Lisa","STS 1101","INFO 1300","lisa@cornell.edu","California","ARAB 1201","astrology","animals","music","ASTRO 1101","123","Undecided","Suburban"
,"01797bee-ea79-4e45-a3c0-1c8f2afadcbd",,2019-07-02T15:10:33Z,2019-07-02T15:10:33Z,"Nadav","PMA 1145","PMA 1145","nadav@cornell.edu","New York","PMA 2800","Guitar","Singing","football","BIOMG 1350","9147777777","Performing and Media Arts","Suburban"
,"ea804f37-8aa5-426e-a4a2-76a14b750d6b",,2019-07-02T15:09:53Z,2019-07-02T15:09:53Z,"Martha","MUSIC 1105","ECON 1110","martha@cornell.edu","Massachusetts","PHIL 1100","music","dancing","fishing","ASTRO 1101","12345678","Undecided","Suburban"
,"48cbfd75-cf0a-4d0b-aae1-77d3bdddf872",,2019-07-02T15:06:51Z,2019-07-02T15:06:51Z,"Stephanie","PHYS 1112","MATH 1920","stephanie@cornell.edu","Nebraska","CHEM 2090","pokemon","technology","guitar","CS 1110","9176935551","Mechanical Engineering","Rural"
,"b42a4888-c8da-4233-9c36-ad3244b7b598",,2019-07-02T15:06:43Z,2019-07-02T15:06:43Z,"Bill","HIST 1700","GOVT 1817","bill@cornell.edu","Tennessee","ECON 1110","politics","finance","food","GOVT 1111","12345678","Government","Suburban"
,"35f30c1b-758b-4d27-990e-edb405822657",,2019-07-02T15:04:14Z,2019-07-02T15:04:14Z,"John","CS 1110","ECON 1110","john@cornell.edu","New York","CHEM 2090","animals","robotics","soccer","MATH 1920","123456789","Mechanical Engineering","Urban"
,"c3f28d88-17a8-4183-8a95-204b35180b93",,2019-07-02T15:03:45Z,2019-07-02T15:03:45Z,"Sam","ECON 1110","HADM 1360","sam@cornell.edu","Massachusetts","HADM 1350","Beer","Basketball","Beaches","HADM 1210","1234567890","Hotel Administration","Suburban"
,"9cec110b-8a6f-4e33-9b36-a754dbad22c3",,2019-07-02T15:02:35Z,2019-07-02T15:02:35Z,"Nick","PHYS 1112","MATH 1910","nick@cornell.edu","Illinois","CHEM 2090","computers","robotics","basketball","CS 1110","123456789","Chemical Engineering","Urban"
,"770cae7d-6ff6-46c6-9b1c-8deec6e16883",,2019-07-02T15:00:02Z,2019-07-02T15:00:02Z,"Pedro","AEM 2200","AEM 2100","pedro@cornell.edu","Brazil","ECON 1110","Entrepreneurship","Dogs","Jokes","AEM 2020","9142381498","Applied Economics and Management","Urban"
,"322dae81-b84e-4358-aa69-c7506093995d",,2019-07-02T14:59:42Z,2019-07-02T14:59:42Z,"Jordyn","INFO 1300","ITAL 1201","jordyn@cornell.edu","Nevada","CS 1110","dogs","animals","food","MATH 1120","123456789","Computer Science","Rural"
,"e86a2624-4a0e-4fc1-bf10-40a64097bdfb",,2019-07-02T14:57:43Z,2019-07-02T14:57:43Z,"Alisa","NS 1600","MATH 1110","alisa@cornell.edu","California","BIOG 1440","music","baking ","softball","CHEM 2070","123456789","Biological Science","Suburban"
,"5f6345c2-87e4-4aed-b87c-caea2461319a",,2019-07-02T14:54:45Z,2019-07-02T14:54:45Z,"Pablo","MATH 1120","CHEM 2070","jonsmith@cornell.edu","New Jersey","AMST 1115 ","Jazz Music","Singing","Painting","CS 1110","9148151111","American Studies","Suburban"
,"25106488-78f3-438b-911c-af0f819bbbea",,2019-07-02T14:54:29Z,2019-07-02T14:54:29Z,"Paul","ILRID 1700","COMM 1101","paul@cornell.edu","New York","INFO 1300","art","soccer","basketball","ASTRO 1101","123456789","Communication","Suburban"
,"649a6768-05b6-4a46-8fda-4a6ba879a2da",,2019-07-01T15:47:13Z,2019-07-01T15:47:13Z,"Sabhya Chhabria","PSYCH 1101","STS 1123","ssc255@cornell.edu","California","MATH 1910","Hiking","Basketball","Movies","CS 2112","6508610409","Computer Science","Urban"
,"1680d54c-4f57-4ef0-8cfd-21fd97a746e3",,2019-06-28T18:53:53Z,2019-06-28T18:53:53Z,"Sam","Math 3410","Econ 1110","sbrix4@gmail.com","Item 2","Math 2210","piano","guitar","tennis","CS 1110","9148157914","Item 5","Suburban"
